id,source,destination,shortest path length,diversion path length,sample time,target id
veh757,5198842675,419241271,696.830,772.634,17760,108368
veh758,26592990,5830976697,637.817,705.453,18126,703524044
veh759,6551816726,1755864108,651.148,718.784,18309,703524044
veh760,1143598784,1711679707,650.864,760.801,18110,1249708436
veh761,26592157,48695355,654.071,721.707,18222,703524044
veh762,12816120,1767293922,631.036,697.707,18188,703524044
veh763,26592969,48311975,671.528,739.164,18217,703524044
veh764,866630993,1163154925,719.269,734.119,18611,34168007
veh765,26592964,3362649860,705.759,779.089,18493,703524044
veh766,96077454,29192862,641.838,697.667,18459,703524044
veh767,37891541,387640644,777.980,792.830,18644,34168007
veh768,cluster_109676_109677,108581,716.610,717.264,18620,34168007
veh769,37890015,198277,830.706,896.577,18784,34168007
veh770,37869361,6015916895,696.919,764.555,18579,703524044
veh771,cluster_1691695907_1691695908,5683490279,578.304,645.940,18549,703524044
veh772,96077454,648861174,645.145,700.974,18369,703524044
veh773,26594437,28420829,662.749,749.376,18487,703524044
veh774,26592089,18060000,714.530,768.506,18617,34168007
veh775,26592131,288167137,706.110,773.746,18575,703524044
veh776,26594444,1685806891,669.195,736.831,18761,703524044
veh777,1207132974,29799477,721.055,735.905,18701,34168007
veh778,858395763,25775314,635.493,703.129,18734,703524044
veh779,26592999,5830967581,631.977,710.182,18644,703524044
veh780,37875592,25475225,714.020,781.656,18758,703524044
veh781,cluster_6017105715_864960615,1763037872,632.409,688.238,18638,703524044
veh782,1685947983,18059998,723.558,777.534,18725,34168007
veh783,26389730,560720542,639.046,694.875,18641,703524044
veh784,711568975,1841441886,638.752,671.226,18693,34168007
veh785,26592185,1755864108,621.990,689.626,18763,703524044
veh786,24500529,5659807624,616.157,679.803,18161,108368
veh787,26594443,392505801,671.822,756.176,18858,703524044
veh788,26607512,4540828161,665.981,733.617,18729,703524044
veh789,24792241,249225286,634.839,677.885,18880,34168007
veh790,cluster_26389854_26389862,1812773806,694.313,748.289,18968,34168007
veh791,26607503,900761801,705.187,772.823,18853,703524044
veh792,18129885,cluster_1972650335_31081144,579.960,594.810,18872,34168007
veh793,cluster_1115750740_12816125_3749560245,3362649837,690.207,757.843,18765,703524044
veh794,27510931,1770308182,648.843,716.479,19091,703524044
veh795,53848050,cluster_18060034_48677470,726.550,775.699,18328,108368
veh796,26592968,2360780144,552.086,619.722,18855,703524044
veh797,cluster_1691189695_26389718,18059991,657.415,713.244,18999,703524044
veh798,cluster_1141822830_198042_3926057436_3926057443,1838084489,713.765,817.566,18918,1249708436
veh799,1694551474,49500597,697.454,712.304,19053,34168007
veh800,cluster_26592973_26594471,108645,706.699,773.079,19307,703524044
veh801,26592089,cluster_106880_244675701_244675711_244675713,619.222,634.072,19149,34168007
veh802,cluster_108349_4840804456,4964991729,602.639,706.440,18828,1249708436
veh803,26592084,560720542,658.049,725.685,19115,703524044
veh804,866577840,5334362571,671.093,685.943,19263,34168007
veh805,18129858,985082001,706.892,774.528,19204,703524044
veh806,26389887,4540828354,643.721,711.357,19179,703524044
veh807,96071636,301570315,711.345,763.783,18744,108368
veh808,844881287,cluster_1685806909_1685806911,582.717,650.353,19392,703524044
veh809,447110866,47318699,636.665,704.301,19481,703524044
veh810,108317,5659819963,657.122,724.758,19291,703524044
veh811,29049572,198268,779.997,825.172,19611,34168007
veh812,26593442,48709088,802.109,869.745,19631,703524044
veh813,3542083579,110159,542.516,627.526,19570,703524044
veh814,3818359108,28800235,728.276,846.037,19448,703524044
veh815,4547130925,1490781225,730.294,801.043,19169,108368
veh816,443289182,106840,689.724,757.360,19753,703524044
veh817,846869626,1606992854,642.992,698.821,19539,703524044
veh818,3840781184,6015916889,669.695,725.524,19541,703524044
veh819,26389720,108446,713.131,768.960,19757,703524044
veh820,27511130,18059995,769.868,837.504,19566,703524044
veh821,96084310,cluster_28420754_28420771,656.562,737.040,19937,703524044
veh822,cluster_37887667_37888051,198272,771.398,825.374,19721,34168007
veh823,37880123,1838084489,682.520,769.383,19253,108368
veh824,3926057442,1164110875,623.623,741.051,19528,338575323
veh825,2319997661,48709083,776.467,836.676,19199,108368
